,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Railcard_Disabled,-3.8497806965509254,0.13269646486402237,-29.011931105292813,4.652877683353458e-185,-4.109860988560194,-3.5897004045416567
Railcard_Senior,-3.025039956219445,0.09507510103732279,-31.81737303683676,3.7228442861175853e-222,-3.2113837300791044,-2.8386961823597856
